,umato_srho_0,pca_tnc_25,tsne_pr_0,umato_tnc_25,isomap_tnc_25,lle_pr_0,isomap_pr_0,tsne_tnc_25,umap_pr_0,umap_tnc_25,pca_pr_0,lle_tnc_25,umato_pr_0
wine_customer,0.913679745355887,0.999976725505566,0.9802141994112451,0.9137032505251371,0.9999823434966211,0.6340788247971071,0.999999060176848,0.9984532980424281,0.9140421071754621,0.9972182661086351,0.9999990588072091,0.9598250634140121,0.9488664529792921
heart_disease,0.8267757493626521,0.9675097413477931,0.936217084485895,0.9322515977039281,0.967865381600966,0.860241827868887,0.9832655330305021,0.969717815732788,0.8005410963729591,0.9640993236183051,0.9833079686854451,0.9542241262491161,0.6967616751789191
optical_recognition_of_handwritten_digits,0.664870616041733,0.878680104253117,0.662958618821297,0.9576599179599841,0.9199937410023411,0.558185050529158,0.649433411925038,0.9834804645706161,0.568255329883903,0.9807954803289901,0.6762796943642551,0.8334678100451891,0.6861573734745651
wireless_indoor_localization,0.931682364730794,0.963519186124814,0.8661078540917021,0.9658894451585891,0.9631039812195261,0.8914771314495591,0.9797494948300021,0.979080191370823,0.9076743955360901,0.9744648573576171,0.985849496636473,0.9613031873891281,0.9296164597189821
spambase,0.8670363882484191,0.99520714059812,0.43768991512752004,0.9878689517508911,0.994483732739397,0.852856424467044,0.9999917579813671,0.9963278389397321,0.430810721949527,0.992692453758907,0.9999884780222431,0.9822079935383881,0.7739940449267481
hate_speech,0.14371128873243202,0.741814290073592,0.385959958426271,0.7846487632978051,0.7493969665018131,0.29581691017356404,0.173438059513004,0.8728016705107311,0.09881081452944901,0.8525818360746671,0.12967335594416002,0.7238369226104251,0.218560736085526
classification_in_asteroseismology,0.875498575534228,0.9997104789623661,0.696086220538328,0.992758879971492,0.999623035378813,0.7259519102508111,0.999999858153481,0.9994636353813531,0.617972400465304,0.9986134658986221,0.999999844446747,0.9961471597057211,0.9586553059623351
microbes,0.8910273548968791,0.9379845791868541,0.901865885710124,0.938177938352968,0.9401414241896031,0.8215673099184501,0.9328436587280661,0.971229340873999,0.879462433978466,0.9682547364947991,0.921492024196025,0.9348238749100961,0.8952784822151231
wilt,0.962830375320004,0.9929372449496231,0.76983660410284,0.98511158993362,0.9929762126117411,0.9432557652583341,0.9994829291674261,0.9935225275070121,0.7991114976177071,0.992304003560016,0.9995862993079561,0.9912958740602541,0.9216582206216191
flickr_material_database,0.767345393613985,0.8050949341619931,0.75171471982977,0.8301473108755121,0.821925228394757,0.45853554936490704,0.6645249676963381,0.8636833271484211,0.5216184264926721,0.8470904000593881,0.7108477718511951,0.811919698999065,0.796818534043459
