dataset,dc_5,nc_3,nc_5,nc_10,nc_25,nc_30,nc_50,nc_75
user_knowledge_modeling,0.313577276303998,0.30925351934593204,0.49042936401567505,0.7768027858966621,0.7768027858966621,0.7768027858966621,0.810523544144057,0.824717316377474
dry_bean,1.224474196111524,0.5395828950779611,0.7131041009969671,0.9251451306126991,0.92380115420229,0.9242900956721171,0.950901205172991,0.957483880311051
taiwanese_bankruptcy_prediction,0.296545726855641,0.0,0.576878919273074,0.794797602049495,0.7936047129062711,0.796712088997223,0.8204438660652421,0.830545022134717
breast_tissue,2.178765667165136,0.565489256291006,0.7201871014287661,0.8836852485187171,0.8836852485187171,0.8836852485187171,0.8962203710287631,0.9044431964157721
olivetti_faces,0.20484803679429803,0.5117436936523401,0.628330575833679,0.6853133624041221,0.6853133624041221,0.6853133624041221,0.6943735165775731,0.715471084335451
htru2,0.8805187546886111,0.40330190248406705,0.5740024635952471,0.8401845606636841,0.8410666201236611,0.83891062720024,0.8766659008935671,0.888702086371657
glass_identification,0.705237955754066,0.43103396435218905,0.5908068290775911,0.8027029604112451,0.8027029604112451,0.8027029604112451,0.821308161147095,0.829081129480532
planning_relax,0.32671806447336904,0.28427879543252604,0.44431760261063,0.7077082431838131,0.7077082431838131,0.7077082431838131,0.748413238797992,0.771275973731899
mammographic_mass,0.706683537887936,0.503295478111463,0.588178921602163,0.8167095546048221,0.8167095546048221,0.8167095546048221,0.879232234183659,0.9008840962778031
ph_recognition,0.45568859684050106,0.0,0.669399756275587,0.8375415596041791,0.8375415596041791,0.8375415596041791,0.8803287995055251,0.893048195874755
durum_wheat_features,0.9792353408280481,0.0,0.6532327766314721,0.859610435984216,0.8549809328493331,0.8526220959858191,0.8785988784157881,0.8859330402188701
music_genre_classification,0.7059269083702041,0.0,0.5888165261357791,0.8406997499541641,0.8406997499541641,0.8406997499541641,0.8780599444316781,0.896101961795677
epileptic_seizure_recognition,0.8868285592647771,0.0,0.17206500701788002,0.36268049348060505,0.36071364521557303,0.35659381547613705,0.41612396382092404,0.45061625364190905
echocardiogram,0.46380890583648704,0.41762114616365703,0.603946265422384,0.8700337829908621,0.8700337829908621,0.8700337829908621,0.9053130956903801,0.9430886449731841
smoker_condition,0.7702776173132401,0.0,0.498421784516729,0.774745257907773,0.774745257907773,0.774745257907773,0.8121287849291521,0.825574009701691
mobile_price_classification,0.432865414121533,0.33915843010942703,0.5235960687180691,0.8112367912635071,0.8112367912635071,0.8112367912635071,0.8482876046727831,0.860325184179592
fraud_detection_bank,3.2897506059292843,0.457378937411251,0.632462000572194,0.855579226304872,0.854262860081006,0.8546045904249471,0.8824394648669811,0.8909210035150801
human_stress_detection,0.6966178363713651,0.029797482178478003,0.31216122823985004,0.89891035314053,0.89894329557244,0.8988711148503331,0.9212407132468651,0.927503691441883
har,0.39443505224284503,0.0,0.39692010838164604,0.634840061727138,0.634840061727138,0.634840061727138,0.7035854610170781,0.7412732251456721
harbermans_survival,0.571850091002406,0.421475075751427,0.616363342292737,0.852565204413895,0.852565204413895,0.852565204413895,0.8736137335747831,0.8809630608378181
dermatology,0.587061186274988,0.357918262824565,0.532590822717651,0.8532458926609511,0.8532458926609511,0.8532458926609511,0.8839144482584691,0.892081552670654
statlog_image_segmentation,0.5956093112325941,0.0,0.6538991688644651,0.8459739838911161,0.8462124072930001,0.8442451148205391,0.8724604959268261,0.8827578566027371
seeds,0.5667506690405281,0.49392935055935705,0.665738561952525,0.874790438892128,0.874790438892128,0.874790438892128,0.896499056571018,0.915535612702252
customer_classification,1.386608227466493,0.338214353687862,0.512501973601404,0.7973138346974651,0.7973138346974651,0.7973138346974651,0.8405972907005771,0.8566277059817111
crowdsourced_mapping,0.21260967045533702,0.330855541530165,0.460965491606992,0.6734418814583021,0.672776995366101,0.668822678650553,0.696060439209488,0.7091262055326081
ionosphere,0.40366917286664405,0.28410065123238304,0.42314712801027204,0.6675990282438721,0.6675990282438721,0.6675990282438721,0.7108876784240731,0.7231546856798231
patient_treatment_classification,0.7600127502992341,0.370435627261665,0.5276030980755491,0.801503709638633,0.8019105880406141,0.802415162318722,0.8480268789220151,0.867766043099866
mnist64,0.18842295680220802,0.0,0.45119016579344806,0.743730254310893,0.743730254310893,0.743730254310893,0.7974377670317111,0.821407365904214
heart_attack_analysis_prediction_dataset,0.577146996819765,0.37575778056617903,0.540994946392618,0.807971189494287,0.807971189494287,0.807971189494287,0.8459027685091721,0.8583028057427511
raisin,0.8623821618060381,0.534978383638663,0.7152986311814651,0.9109610390099361,0.9109610390099361,0.9109610390099361,0.945114785606132,0.9531471810915421
date_fruit,0.74864356916392,0.43238317189338804,0.610113010673316,0.846361993959382,0.846361993959382,0.846361993959382,0.875275206840292,0.8889265419997351
wine,0.7736548297087931,0.540707709973656,0.732644694302495,0.9257026982473611,0.9257026982473611,0.9257026982473611,0.9405934325106021,0.9418988694113101
secom,0.15870646445543102,0.0,0.221569892882502,0.46049650380711604,0.46049650380711604,0.46049650380711604,0.524695282238683,0.554716278063201
breast_cancer_wisconsin_original,0.6375421151318941,0.0,0.47530251468613305,0.7215477507815391,0.7215477507815391,0.7215477507815391,0.752612177514535,0.770765921735292
rice_seed_gonen_jasmine,0.741025441256547,0.0,0.6490871501060801,0.876910841004044,0.878222434119271,0.8768562572534451,0.919156859464293,0.9372577026029211
turkish_music_emotion,0.61551693275426,0.39028396124999104,0.567031537394941,0.8288007787607201,0.8288007787607201,0.8288007787607201,0.865793680649873,0.8807426803957571
imdb,0.061760558318526004,0.033836809590323,0.038115647634403005,0.10878377827285601,0.11273752810352401,0.10890485621920701,0.150517782559036,0.18648518584509302
hepatitis,0.634412487096162,0.379527859045625,0.586369845118307,0.8304129158190031,0.8304129158190031,0.8304129158190031,0.8642040952331871,0.9041683263139431
website_phishing,0.24540436429230802,0.494643731365044,0.568459188300188,0.717709739315579,0.717709739315579,0.717709739315579,0.769766055524416,0.7960599024949491
extyaleb,0.33427199056779905,0.0,0.45587475218543905,0.7997418482414671,0.7997418482414671,0.7997418482414671,0.85087000697196,0.8764580030785041
weather,0.28716364416967205,0.44970988467195305,0.6510930535378181,0.8752380405742891,0.8752380405742891,0.8752380405742891,0.9124031516294381,0.9428600045188591
cnae9,0.26692050730938904,0.285367028732713,0.354570778937837,0.426623417458495,0.426623417458495,0.426623417458495,0.421850892216088,0.409222697662246
wine_quality,0.646993263357525,0.45102081934533106,0.6000102588310701,0.8362702252807641,0.8406129238138801,0.8399892990105141,0.868912464422381,0.8786622214563861
pumpkin_seeds,0.762986034255357,0.0,0.677059511194073,0.9057178698874531,0.905092589772694,0.9052528845071891,0.942535108250481,0.953116228876377
cardiovascular_study,0.5429813307811491,0.24898882033177902,0.39395259036349706,0.6993255749125681,0.7000756051072401,0.697375591780076,0.7536720977123881,0.7697240597969061
